euh
donc
oui
ouais
hum
non
e
ben
bon
quoi
hein
si
enfin
voilà
alors
ah
puis
sais
pron
d'accord
tu vois
des fois
i
bah
comment
oh
b
rires
u
dis moi
bien sur
bien sûr
truc
bonjour
au revoir
salut
par contre
justement
eh
genre
sinon
o
juste
pff
allez
puisque
mh
hum
humm
mmh
v
merci
f
super
putain
pf
sympa
pi
ci
franchement
pardon
xxx
xx
machin
vachement
etcaetera
et caetera
tx
ok
fe
han
allo
cool
etc
hop
pis
hm
ouah
merde
bè
ouh
sérieux
hé
bonsoir
dé
énorme
bravo
chier
bg
no
z
nan
pa
tata
pap
nul
nt
rigolo
ét
personnellement
wouah
bé
de toute facon
de toutes facons
de toute façon
de toutes façons
ca marche
génial
grave
ca roule
okay
du coup
top
pas de soucis
lol
ah
ouais
t'inquiète
t'inquiètes
tu parles
fais chier
chier
relativement
aujourd'hui
ca va
ça va
ça
en fait
au fait
ou bien
en plus
je pense
voilà
voila
