euh
donc
oui
ouais
hum
non
e
ben
bon
quoi
hein
si
enfin
voilà
voila
alors
peu
ah
puis
sais
pron
d'accord
tu vois
des fois
une fois
chaque fois
plus trop
pas trop
trop
parfois
i
bah
comment
oh
b
rires
u
dis moi
bien sur
bien sûr
truc
bonjour
au revoir
salut
par contre
justement
eh
genre
sinon
o
juste
pff
allez
puisque
mh
hum
humm
mmh
v
merci
f
super
putain
pf
sympa
pi
ci
franchement
pardon
xxx
xx
machin
vachement
etcaetera
et caetera
tx
ok
fe
han
allo
cool
etc
hop
pis
hm
ouah
merde
bè
be
ouh
sérieux
serieux
hé
he
bonsoir
dé
de
énorme
enorme
bravo
chier
bg
no
z
nan
pa
tata
pap
nul
nt
rigolo
ét
personnellement
wouah
bé
de toute facon
de toutes facons
de toute façon
de toutes façons
tout
toute
tous
ca marche
génial
genial
grave
ca roule
okay
du coup
top
pas de soucis
lol
ah
ouais
t'inquiète
t'inquiètes
t'inquiete
t'inquietes
tu parles
fais chier
chier
relativement
ca va
ça va
va
ça
en fait
au fait
fait
faut
faudrait
faire
etre
être
avoir
ou bien
en plus
au
aux
avec
ce
ces
dans
de
des
du
elle
en
et
eux
il
je
là
la
le
leur
lui
ma
mais
me
même
mes
moi
mon
ne
nos
notre
nous
qu'on
on
ou
par
pas
pour
qu
parce
que
qui
sa
se
ses
son
sur
ta
te
tes
toi
ton
tu
un
une
vos
votre
vous
ete
été
étée
etee
étées
etees
étés
etes
étant
etant
suis
es
c'est
est
sommes
êtes
etes
sont
serai
seras
sera
serons
serez
seront
serais
serait
serions
seriez
seraient
étais
était
étions
étiez
étaient
fus
fut
fûmes
fûtes
etais
etait
etions
etiez
etaient
fumes
futes
fut
furent
sois
soit
soyons
soyez
soient
fusse
fusses
fût
fussions
fussiez
fussent
ayant
eu
eue
eues
eus
j'ai
ai
as
avons
avez
ont
aurai
auras
aura
aurons
aurez
auront
aurais
aurait
aurions
auriez
auraient
avais
avait
avions
aviez
avaient
eut
eûmes
eûtes
eurent
aie
aies
ait
ayons
ayez
aient
eusse
eusses
eût
eussions
eussiez
eussent
ceci
cela
celà
déjà
déja
dejà
deja
cet
cette
ici
ils
les
leurs
quel
quels
quelle
quelles
quelque
quelques
sans
soi
quand
aussi
après
apres
t'as
s'il
qu'il
qu'est
d'un
par exemple
je pense
ensuite
très
tres
doit
peut
peux
vraiment
c
d
j
l
à
m
n
s
t
y
