yeah
uh
um
okay
vocalsound
uh-huh
oh
mm
hmm
yep
huh
"""cause"""
cause
ah
"""'kay"""
kay
hmmm
"""'em"""
em
uhuh
wow
oops
ooh
eh
hum
sure
guess
well
nice
sorry
cool
stuff
basically
wait
please 
obviously
indeed
totally
agreed
uhhuh
absolutely
thanks
thanx
seriously
ok
i think
you know
i mean
kind of
don't know
i guess
well i
sort of
yeah well
or something
i can
of course
well we
know what
i dunno
think so
think i
i just
know i
right yeah
uh well
um well
that's right
okay well
well yeah
think yeah
thank you
i thought
yeah right
for example
right okay
okay right
yeah alright
and i think
so forth
for instance
at all
and again
by the way
so you know
as a matter of fact
in fact
the point is
apparently
the thing is
pretty much
